business_name,address,phone,website,area,city,reviews_count,rating,url
"South Congress Hotel","Address: 1603 S Congress Ave, Austin, TX 78704, United States ","+15129206405","http://southcongresshotel.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp","78701, Austin, TX","Austin, TX","","4.4","https://www.google.com/maps/place/South+Congress+Hotel/data=!4m7!3m6!1s0x8644b4fc866add87:0xc78ecc2590f59eb4!8m2!3d30.247296!4d-97.750338!16s%2Fg%2F11b7w5g66j!19sChIJh91qhvy0RIYRtJ71kCXMjsc?authuser=0&hl=en&rclk=1"
"Corner Restaurant","Address: 110 E 2nd St, Austin, TX 78701, United States ","+15126084488","https://www.cornerrestaurantaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","","4.8","https://www.google.com/maps/place/Corner+Restaurant/data=!4m7!3m6!1s0x8644b508789cc0c5:0x270f96c74f970af4!8m2!3d30.2645703!4d-97.7438317!16s%2Fg%2F11b76mjh5x!19sChIJxcCceAi1RIYR9AqXT8eWDyc?authuser=0&hl=en&rclk=1"
"Corinne Austin","Address: 304 E Cesar Chavez St, Austin, TX 78701, United States ","+17377877018","https://www.corinneatx.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","","4.8","https://www.google.com/maps/place/Corinne+Austin/data=!4m7!3m6!1s0x8644b5a2efae9207:0x29c9c30dffef66c0!8m2!3d30.2627011!4d-97.7415763!16s%2Fg%2F11n5pb_qpg!19sChIJB5Ku76K1RIYRwGbv_w3DySk?authuser=0&hl=en&rclk=1"
"Caroline","Address: 621 Congress Ave. Suite 101, Austin, TX 78701, United States ","+15129826766","http://www.carolinerestaurant.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","","4.8","https://www.google.com/maps/place/Caroline/data=!4m7!3m6!1s0x8644b509e7e92743:0x38cd855b7c17b277!8m2!3d30.2688157!4d-97.7422982!16s%2Fg%2F11d_9jgz28!19sChIJQyfp5wm1RIYRd7IXfFuFzTg?authuser=0&hl=en&rclk=1"
"Upstairs at Caroline","Address: 109 E 7th St, Austin, TX 78701, United States ","+15129826766","https://www.carolinerestaurant.com/upstairs-at-caroline?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","","4.9","https://www.google.com/maps/place/Upstairs+at+Caroline/data=!4m7!3m6!1s0x8644b509e7e92743:0xb09cf7e6ae581b9!8m2!3d30.2686635!4d-97.7420691!16s%2Fg%2F11fxb7wz06!19sChIJQyfp5wm1RIYRuYHlan7PCQs?authuser=0&hl=en&rclk=1"
"Ember Kitchen","Address: 800 W Cesar Chavez St Ste PP110, Austin, TX 78701, United States ","+15122916846","https://www.emberatx.com/","78701, Austin, TX","Austin, TX","","4.8","https://www.google.com/maps/place/Ember+Kitchen/data=!4m7!3m6!1s0x8644b5723cde91d1:0x14bf1e14920af2da!8m2!3d30.266876!4d-97.7528456!16s%2Fg%2F11jt5g77r4!19sChIJ0ZHePHK1RIYR2vIKkhQevxQ?authuser=0&hl=en&rclk=1"
"Dean's Italian Steakhouse","Address: 110 E 2nd St, Austin, TX 78701, United States ","+15126084490","https://www.deanssteakhouseaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","","4.9","https://www.google.com/maps/place/Dean%27s+Italian+Steakhouse/data=!4m7!3m6!1s0x8644b5f9290d2757:0xd73edf1c24d12e4f!8m2!3d30.2641454!4d-97.7430761!16s%2Fg%2F11pyc12_7j!19sChIJVycNKfm1RIYRTy7RJBzfPtc?authuser=0&hl=en&rclk=1"
"Roaring Fork","Address: 701 Congress Ave., Austin, TX 78701, United States ","+15125830000","http://www.roaringfork.com/","78701, Austin, TX","Austin, TX","","4.5","https://www.google.com/maps/place/Roaring+Fork/data=!4m7!3m6!1s0x8644b509e15979d5:0xce6e982ebf5ebae2!8m2!3d30.2691083!4d-97.7421111!16s%2Fg%2F1td5m2fy!19sChIJ1XlZ4Qm1RIYR4rpevy6Ybs4?authuser=0&hl=en&rclk=1"
"Verbena Food & Drink","Address: 612 W 6th St, Austin, TX 78701, United States ","+15129913019","http://verbenaatx.com/","78701, Austin, TX","Austin, TX","","4.7","https://www.google.com/maps/place/Verbena+Food+%26+Drink/data=!4m7!3m6!1s0x8644b5671c80691b:0x38d7e3bd3637504b!8m2!3d30.2699121!4d-97.7489064!16s%2Fg%2F11jd_wq5w9!19sChIJG2mAHGe1RIYRS1A3Nr3j1zg?authuser=0&hl=en&rclk=1"
"Moonshine Grill","Address: 303 Red River St, Austin, TX 78701, United States ","+15122369599","http://www.moonshinegrill.com/","78701, Austin, TX","Austin, TX","","4.6","https://www.google.com/maps/place/Moonshine+Grill/data=!4m7!3m6!1s0x8644b5a8910339cd:0x3d1cb3bee44dfaf4!8m2!3d30.2637562!4d-97.7380259!16s%2Fg%2F1tfxh22p!19sChIJzTkDkai1RIYR9PpN5L6zHD0?authuser=0&hl=en&rclk=1"
"North Italia","Address: 500 W 2nd St #120, Austin, TX 78701, United States ","+15127775062","https://www.northitalia.com/locations/austin-tx-2nd-street/","78701, Austin, TX","Austin, TX","","4.4","https://www.google.com/maps/place/North+Italia/data=!4m7!3m6!1s0x8644b50f13d654f7:0x298b7455bac125f9!8m2!3d30.2657893!4d-97.7489158!16s%2Fg%2F11hbq8vc5c!19sChIJ91TWEw-1RIYR-SXBulV0iyk?authuser=0&hl=en&rclk=1"
"True Food Kitchen","Address: 222 West Ave Ste HR100, Austin, TX 78701, United States ","+15127772430","https://www.truefoodkitchen.com/locations/austin/","78701, Austin, TX","Austin, TX","","4.5","https://www.google.com/maps/place/True+Food+Kitchen/data=!4m7!3m6!1s0x8644b50e2ee3f607:0xddc3ee2020881bac!8m2!3d30.2670001!4d-97.7522838!16s%2Fg%2F11clfd3vs8!19sChIJB_bjLg61RIYRrBuIICDuw90?authuser=0&hl=en&rclk=1"
"Emmer & Rye","Address: SkyHouse, 51 Rainey St UNIT 110, Austin, TX 78701, United States ","+15123665530","http://www.emmerandrye.com/","78701, Austin, TX","Austin, TX","","4.4","https://www.google.com/maps/place/Emmer+%26+Rye/data=!4m7!3m6!1s0x8644b5aa4ba7633d:0xfb14f97a7bd4e90c!8m2!3d30.2574194!4d-97.7390667!16s%2Fg%2F11bw61kjkh!19sChIJPWOnS6q1RIYRDOnUe3r5FPs?authuser=0&hl=en&rclk=1"
"Perry's Steakhouse & Grille - Downtown Austin","Address: 114 W 7th St, Austin, TX 78701, United States ","+15124746300","http://www.perryssteakhouse.com/menu-locations/austin/downtown/","78701, Austin, TX","Austin, TX","","4.6","https://www.google.com/maps/place/Perry%27s+Steakhouse+%26+Grille+-+Downtown+Austin/data=!4m7!3m6!1s0x8644b5098e36bacf:0x401fe397ec58fe8b!8m2!3d30.2694225!4d-97.7435269!16s%2Fg%2F1xb2dzc2!19sChIJz7o2jgm1RIYRi_5Y7JfjH0A?authuser=0&hl=en&rclk=1"
"The Well","Address: 440 W 2nd St, Austin, TX 78701, United States ","+17377421129","https://www.eatwellatx.com/","78701, Austin, TX","Austin, TX","","4.5","https://www.google.com/maps/place/The+Well/data=!4m7!3m6!1s0x8644b5c3d19d8bd7:0xe6f8c20f2101cf63!8m2!3d30.2656068!4d-97.7483158!16s%2Fg%2F11m84zj_hv!19sChIJ14ud0cO1RIYRY88BIQ_C-OY?authuser=0&hl=en&rclk=1"
"Aba Austin","Address: 1011 S Congress Ave Bldg 2 Suite 180, Austin, TX 78704, United States ","+17372730199","https://www.abarestaurants.com/austin/","78701, Austin, TX","Austin, TX","","4.7","https://www.google.com/maps/place/Aba+Austin/data=!4m7!3m6!1s0x8644b536d664f80d:0xc9f3e7f84a08d2dc!8m2!3d30.2533154!4d-97.7480244!16s%2Fg%2F11kxs1p26y!19sChIJDfhk1ja1RIYR3NIISvjn88k?authuser=0&hl=en&rclk=1"
"Péché","Address: 208 W 4th St, Austin, TX 78701, United States ","+15123798249","http://www.pecheaustin.com/","78701, Austin, TX","Austin, TX","","4.5","https://www.google.com/maps/place/P%C3%A9ch%C3%A9/data=!4m7!3m6!1s0x8644b508e3e50b81:0xdc31ceba925a687!8m2!3d30.2668708!4d-97.7452131!16s%2Fg%2F1vnnjswc!19sChIJgQvl4wi1RIYRh6Ylqescww0?authuser=0&hl=en&rclk=1"
"Fixe Southern House","Address: 500 W 5th St, Austin, TX 78701, United States ","+15128889133","http://fixesouthernhouse.com/","78701, Austin, TX","Austin, TX","","4.6","https://www.google.com/maps/place/Fixe+Southern+House/data=!4m7!3m6!1s0x8644b50eb631c4cd:0xdd01a7ff9e5f3595!8m2!3d30.2688775!4d-97.7485651!16s%2Fg%2F11b6v0l_h8!19sChIJzcQxtg61RIYRlTVfnv-nAd0?authuser=0&hl=en&rclk=1"
"Eureka!","Address: 200 E 6th St, Austin, TX 78701, United States ","+15127351144","http://eurekarestaurantgroup.com/blog/locations/austin/","78701, Austin, TX","Austin, TX","","4.4","https://www.google.com/maps/place/Eureka!/data=!4m7!3m6!1s0x8644b5a77a69d217:0x5767e994aa3248a8!8m2!3d30.2678427!4d-97.7412401!16s%2Fg%2F11btww44m0!19sChIJF9Jpeqe1RIYRqEgyqpTpZ1c?authuser=0&hl=en&rclk=1"
"Swift's Attic","Address: 315 Congress Ave., Austin, TX 78701, United States ","+15124828842","http://www.swiftsattic.com/","78701, Austin, TX","Austin, TX","","4.5","https://www.google.com/maps/place/Swift%27s+Attic/data=!4m7!3m6!1s0x8644b50868719c39:0x6aad29922afb787b!8m2!3d30.2656345!4d-97.7433776!16s%2Fg%2F1hc290jny!19sChIJOZxxaAi1RIYRe3j7KpIprWo?authuser=0&hl=en&rclk=1"
"Phoebe's Downtown","Address: 408 W 11th St, Austin, TX 78701, United States ","+15123598338","https://www.phoebesdiner.com/","78701, Austin, TX","Austin, TX","","4.7","https://www.google.com/maps/place/Phoebe%27s+Downtown/data=!4m7!3m6!1s0x8644b509f2e104af:0xd75b5b57ab771900!8m2!3d30.2740975!4d-97.7449381!16s%2Fg%2F11np3q1qct!19sChIJrwTh8gm1RIYRABl3q1dbW9c?authuser=0&hl=en&rclk=1"
"Red Ash","Address: Colorado Tower, 303 Colorado St #200, Austin, TX 78701, United States ","+15123792906","http://redashgrill.com/","78701, Austin, TX","Austin, TX","","4.7","https://www.google.com/maps/place/Red+Ash/data=!4m7!3m6!1s0x8644b5088b41fa59:0xada04b221220ebe!8m2!3d30.2657022!4d-97.7449409!16s%2Fg%2F11cs5wlpxh!19sChIJWfpBiwi1RIYRvg4iIbIE2go?authuser=0&hl=en&rclk=1"
"Sapori Italian Roots","Address: 800 Brazos St ste 215, Austin, TX 78701, United States ","+17373519271","https://saporiatx.com/","78701, Austin, TX","Austin, TX","","4.8","https://www.google.com/maps/place/Sapori+Italian+Roots/data=!4m7!3m6!1s0x8644b5dcfd4ebba7:0x1b7abfe12cf1df5b!8m2!3d30.2698335!4d-97.7412877!16s%2Fg%2F11kqwj7k6t!19sChIJp7tO_dy1RIYRW9_xLOG_ehs?authuser=0&hl=en&rclk=1"
"Champions Austin Restaurant & Bar","Address: 300 E 4th St, Austin, TX 78701, United States ","+15126919988","https://www.championsrestaurantatx.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","","4.7","https://www.google.com/maps/place/Champions+Austin+Restaurant+%26+Bar/data=!4m7!3m6!1s0x8644b5a7ec4f45cf:0x94df01b7c0d62430!8m2!3d30.2655444!4d-97.7401793!16s%2Fg%2F1thqh48z!19sChIJz0VP7Ke1RIYRMCTWwLcB35Q?authuser=0&hl=en&rclk=1"
"Odd Duck","Address: 1201 S Lamar Blvd, Austin, TX 78704, United States ","+15124336521","http://oddduckaustin.com/","78701, Austin, TX","Austin, TX","","4.7","https://www.google.com/maps/place/Odd+Duck/data=!4m7!3m6!1s0x8644b51f9fffcf8b:0xb12c453f1063a7e7!8m2!3d30.254672!4d-97.762051!16s%2Fg%2F1ptxn2gnl!19sChIJi8__nx-1RIYR56djED9FLLE?authuser=0&hl=en&rclk=1"
"Zanzibar","Address: 304 E Cesar Chavez St, Austin, TX 78701, United States ","+17377876969","https://www.zanzibaratx.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","","4.9","https://www.google.com/maps/place/Zanzibar/data=!4m7!3m6!1s0x8644b5b4b055a215:0x9f404779d2544671!8m2!3d30.2628309!4d-97.7415705!16s%2Fg%2F11kgs3c60q!19sChIJFaJVsLS1RIYRcUZU0nlHQJ8?authuser=0&hl=en&rclk=1"
"Ranch 616","Address: 616 Nueces St, Austin, TX 78701, United States ","+15124797616","http://ranch616.com/","78701, Austin, TX","Austin, TX","","4.4","https://www.google.com/maps/place/Ranch+616/data=!4m7!3m6!1s0x8644b50c190b7bcb:0x605135c7432762ff!8m2!3d30.270465!4d-97.7483962!16s%2Fm%2F020z75k!19sChIJy3sLGQy1RIYR_2InQ8c1UWA?authuser=0&hl=en&rclk=1"
"Taverna Austin (Downtown) | The Baci Room","Address: 258 W 2nd St, Austin, TX 78701, United States ","+15124771001","https://www.tavernabylombardi.com/","78701, Austin, TX","Austin, TX","","4.2","https://www.google.com/maps/place/Taverna+Austin+%28Downtown%29+%7C+The+Baci+Room/data=!4m7!3m6!1s0x8644b508a4d5ac31:0x8f86af342e9c198e!8m2!3d30.2651679!4d-97.7463598!16s%2Fg%2F1td_c1t5!19sChIJMazVpAi1RIYRjhmcLjSvho8?authuser=0&hl=en&rclk=1"
"La Condesa","Address: 400A W 2nd St, Austin, TX 78701, United States ","+15123776305","https://lacondesa.com/","78701, Austin, TX","Austin, TX","","4.3","https://www.google.com/maps/place/La+Condesa/data=!4m7!3m6!1s0x8644b50f48ebd98f:0x4a4171432bb6b3c9!8m2!3d30.2656391!4d-97.7477811!16s%2Fg%2F1yl482fsk!19sChIJj9nrSA-1RIYRybO2K0NxQUo?authuser=0&hl=en&rclk=1"
"Industry","Address: 1211 E 5th St. Ste 150, Austin, TX 78702, United States ","+15125648686","http://eastside.industrytx.com/","78701, Austin, TX","Austin, TX","","4.5","https://www.google.com/maps/place/Industry/data=!4m7!3m6!1s0x8644b505051e539b:0x3cbf9685f92c1fff!8m2!3d30.2629956!4d-97.7301213!16s%2Fg%2F11td8y8jrl!19sChIJm1MeBQW1RIYR_x8s-YWWvzw?authuser=0&hl=en&rclk=1"
"Fareground Austin","Address: 111 Congress Ave., Austin, TX 78701, United States ","+15124652107","https://www.faregroundaustin.com/","78701, Austin, TX","Austin, TX","","4.4","https://www.google.com/maps/place/Fareground+Austin/data=!4m7!3m6!1s0x8644b507c51a5043:0x9767a84e660928a0!8m2!3d30.2635186!4d-97.74358!16s%2Fg%2F11c5442_np!19sChIJQ1AaxQe1RIYRoCgJZk6oZ5c?authuser=0&hl=en&rclk=1"
"Hestia","Address: 607 W 3rd St #105, Austin, TX 78701, United States ","+15123330737","http://hestiaaustin.com/","78701, Austin, TX","Austin, TX","","4.5","https://www.google.com/maps/place/Hestia/data=!4m7!3m6!1s0x8644b5bfb3636095:0x9fe7448d0b749bb0!8m2!3d30.2667619!4d-97.7500735!16s%2Fg%2F11h2cl_ywh!19sChIJlWBjs7-1RIYRsJt0C41E558?authuser=0&hl=en&rclk=1"
"Garrison","Address: 101 Red River St, Austin, TX 78701, United States ","+15126002000","https://www.garrisongrill.com/?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps","78701, Austin, TX","Austin, TX","","4.7","https://www.google.com/maps/place/Garrison/data=!4m7!3m6!1s0x8644b5a8e3404775:0x1c1feacbb73b7726!8m2!3d30.2619965!4d-97.7380364!16s%2Fg%2F11hbt1dsvs!19sChIJdUdA46i1RIYRJnc7t8vqHxw?authuser=0&hl=en&rclk=1"
"Eddie V's Prime Seafood","Address: 301 E 5th St., Austin, TX 78701, United States ","+15124721860","https://www.eddiev.com/locations/tx/austin/austin-5th-street/8501?cmpid=br:ev_ag:ie_ch:loc_ca:EVGMB_sn:gmb_gt:austin-tx-8501_pl:locurl_rd:1001","78701, Austin, TX","Austin, TX","","4.7","https://www.google.com/maps/place/Eddie+V%27s+Prime+Seafood/data=!4m7!3m6!1s0x8644b5a791549495:0x23753468171a9a9b!8m2!3d30.2662488!4d-97.7406292!16s%2Fg%2F1vv2smmx!19sChIJlZRUkae1RIYRm5oaF2g0dSM?authuser=0&hl=en&rclk=1"
"Lonesome Dove Austin","Address: 123 W 6th St, Austin, TX 78701, United States ","+15123682821","http://www.lonesomedoveaustin.com/","78701, Austin, TX","Austin, TX","","4.5","https://www.google.com/maps/place/Lonesome+Dove+Austin/data=!4m7!3m6!1s0x8644b509aa9776f3:0xc98eeb65a71639a7!8m2!3d30.268263!4d-97.7440193!16s%2Fg%2F11b7hynp8y!19sChIJ83aXqgm1RIYRpzkWp2Xrjsk?authuser=0&hl=en&rclk=1"
"Truluck's Ocean's Finest Seafood and Crab","Address: 300 Colorado St, Austin, TX 78701, United States ","+15124829000","https://trulucks.com/locations/downtown-austin-texas","78701, Austin, TX","Austin, TX","","4.7","https://www.google.com/maps/place/Truluck%27s+Ocean%27s+Finest+Seafood+and+Crab/data=!4m7!3m6!1s0x8644b508fb09eee5:0xbb8dfc8a288d5bd1!8m2!3d30.2659685!4d-97.74532!16s%2Fm%2F020zgpx!19sChIJ5e4J-wi1RIYR0VuNKIr8jbs?authuser=0&hl=en&rclk=1"
"J Carver’s Oyster Bar & Chophouse","Address: 509 Rio Grande St, Austin, TX 78701, United States ","+15127820650","http://www.jcarveratx.com/","78701, Austin, TX","Austin, TX","","4.7","https://www.google.com/maps/place/J+Carver%E2%80%99s+Oyster+Bar+%26+Chophouse/data=!4m7!3m6!1s0x8644b50e83d6aaab:0xfd9e44a0c2ac1fbc!8m2!3d30.2695527!4d-97.7494581!16s%2Fg%2F11rrq5yp8q!19sChIJq6rWgw61RIYRvB-swqBEnv0?authuser=0&hl=en&rclk=1"
"Industry","Address: 1211 E 5th St. Ste 150, Austin, TX 78702, United States ","+15125648686","http://eastside.industrytx.com/","78702, Austin, TX","Austin, TX","","4.5","https://www.google.com/maps/place/Industry/data=!4m7!3m6!1s0x8644b505051e539b:0x3cbf9685f92c1fff!8m2!3d30.2629956!4d-97.7301213!16s%2Fg%2F11td8y8jrl!19sChIJm1MeBQW1RIYR_x8s-YWWvzw?authuser=0&hl=en&rclk=1"
"Suerte","Address: 1800 E 6th St, Austin, TX 78702, United States ","+15125223031","https://www.suerteatx.com/","78702, Austin, TX","Austin, TX","","4.6","https://www.google.com/maps/place/Suerte/data=!4m7!3m6!1s0x8644b5b6fb440001:0x48219815b3589371!8m2!3d30.2622778!4d-97.7232758!16s%2Fg%2F11hcy_q_wp!19sChIJAQBE-7a1RIYRcZNYsxWYIUg?authuser=0&hl=en&rclk=1"
"Caroline","Address: 621 Congress Ave. Suite 101, Austin, TX 78701, United States ","+15129826766","http://www.carolinerestaurant.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78702, Austin, TX","Austin, TX","","4.8","https://www.google.com/maps/place/Caroline/data=!4m7!3m6!1s0x8644b509e7e92743:0x38cd855b7c17b277!8m2!3d30.2688157!4d-97.7422982!16s%2Fg%2F11d_9jgz28!19sChIJQyfp5wm1RIYRd7IXfFuFzTg?authuser=0&hl=en&rclk=1"
"De Nada Cantina","Address: 4715 E Cesar Chavez St, Austin, TX 78702, United States ","+15126153555","https://denadacantina.com/","78702, Austin, TX","Austin, TX","","4.6","https://www.google.com/maps/place/De+Nada+Cantina/data=!4m7!3m6!1s0x8644b582edd63463:0x4e8ac48f1b106d09!8m2!3d30.2514145!4d-97.7022034!16s%2Fg%2F11mw7352l3!19sChIJYzTW7YK1RIYRCW0QG4_Eik4?authuser=0&hl=en&rclk=1"
"la Barbecue","Address: 2401 E Cesar Chavez St, Austin, TX 78702, United States ","","http://www.labarbecue.com/","78702, Austin, TX","Austin, TX","","4.4","https://www.google.com/maps/place/la+Barbecue/data=!4m7!3m6!1s0x8644b5aec36d1d21:0xfd5679cbbac70752!8m2!3d30.2544822!4d-97.717612!16s%2Fg%2F11fy94z899!19sChIJIR1tw661RIYRUgfHust5Vv0?authuser=0&hl=en&rclk=1"
"Justine's","Address: 4710 E 5th St., Austin, TX 78702, United States ","+15123852900","https://www.justines1937.com/","78702, Austin, TX","Austin, TX","","4.4","https://www.google.com/maps/place/Justine%27s/data=!4m7!3m6!1s0x8644b42afcfc14ad:0xa6d1574a5a6592c3!8m2!3d30.2532004!4d-97.7006129!16s%2Fg%2F1tj52z_n!19sChIJrRT8_Cq0RIYRw5JlWkpX0aY?authuser=0&hl=en&rclk=1"
